hgnc_symbol	chromosome_name
A1BG	19
A1BG-AS1	19
A2M	12
A2M-AS1	12
A2ML1	12
A4GALT	22
AAAS	12
AACS	12
AADAT	4
AAED1	9
AAGAB	15
AAK1	2
AAMDC	11
AAMP	2
AAR2	20
AARD	8
AARS	16
AARS2	6
AARSD1	17
AASDH	4
AASDHPPT	11
AASS	7
AATBC	21
AATF	17
AATK	17
ABAT	16
ABCA1	9
ABCA10	17
ABCA11P	4
ABCA13	7
ABCA17P	16
ABCA2	9
ABCA3	16
ABCA4	1
ABCA5	17
ABCA6	17
ABCA7	19
ABCA9	17
ABCB1	7
ABCB10	1
ABCB5	7
ABCB6	2
ABCB7	X
ABCB8	7
ABCB9	12
ABCC1	16
ABCC10	6
ABCC13	21
ABCC3	17
ABCC4	13
ABCC5	3
ABCC6	16
ABCC6P2	16
ABCC9	12
ABCD1	X
ABCD3	1
ABCD4	14
ABCE1	4
ABCF1	6
ABCF2	7
ABCF3	3
ABCG1	21
ABCG2	4
ABCG4	11
ABCG5	2
ABHD1	2
ABHD10	3
ABHD11	7
ABHD12	20
ABHD12B	14
ABHD13	13
ABHD14A	3
ABHD14B	3
ABHD15	17
ABHD16A	6
ABHD16B	20
ABHD17A	19
ABHD17B	9
ABHD17C	15
ABHD2	15
ABHD3	18
ABHD4	14
ABHD5	3
ABHD6	3
ABHD8	19
ABI1	10
ABI2	2
ABI3	17
ABL1	9
ABL2	1
ABLIM1	10
ABLIM2	4
ABLIM3	5
ABO	9
ABR	17
ABRACL	6
ABT1	6
ABTB1	3
ABTB2	11
ACAA1	3
ACAA2	18
ACACA	17
ACACB	12
ACAD10	12
ACAD11	3
ACAD8	11
ACAD9	3
ACADM	1
ACADS	12
ACADSB	10
ACADVL	17
ACAP1	17
ACAP2	3
ACAP3	1
ACAT1	11
ACAT2	6
ACBD3	1
ACBD4	17
ACBD5	10
ACBD6	1
ACBD7	10
ACCS	11
ACD	16
ACE	17
ACER2	9
ACER3	11
ACIN1	14
ACKR1	1
ACKR2	3
ACKR3	2
ACKR4	3
ACLY	17
ACO1	9
ACO2	22
ACOT1	14
ACOT13	6
ACOT2	14
ACOT4	14
ACOT7	1
ACOT8	20
ACOT9	X
ACOX1	17
ACOX2	3
ACOX3	4
ACOXL	2
